trajectory,system,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
Linear,Without Lens,0,0.0,0.0,11.280404,21.046493,1.430202,6.86021
Linear,Without Lens,1,0.95,0.95,14.633018,23.306678,1.299832,6.535535
Linear,Without Lens,2,1.9,1.9,9.527524,19.579601,1.474477,7.236792
Linear,Without Lens,3,2.85,2.85,11.184965,20.972692,1.338376,6.666206
Linear,Without Lens,4,3.8,3.8,13.223476,22.426913,1.313623,6.625284
Linear,Without Lens,5,4.75,4.75,17.827945,25.022026,1.175208,5.979268
Linear,Without Lens,6,5.7,5.7,20.6563,26.301051,1.170695,5.985117
Linear,Without Lens,7,6.65,6.65,19.376209,25.745376,1.200509,6.115647
Linear,Without Lens,8,7.6,7.6,23.88087,27.561003,1.103301,5.609488
Linear,Without Lens,9,8.55,8.55,29.101863,29.278416,1.06713,5.360402
Linear,Without Lens,10,9.5,9.5,1926.288609,65.694427,1.029485,5.137733
Linear,Without Lens,11,10.45,10.45,29.054526,29.264276,1.067266,5.360405
Linear,Without Lens,12,11.4,11.4,23.850624,27.549995,1.103225,5.609697
Linear,Without Lens,13,12.35,12.35,19.505295,25.803051,1.202195,6.119941
Linear,Without Lens,14,13.3,13.3,20.761691,26.345255,1.170113,5.990969
Linear,Without Lens,15,14.25,14.25,17.796909,25.006892,1.175966,5.980786
Linear,Without Lens,16,15.2,15.2,13.19544,22.408477,1.313107,6.622057
Linear,Without Lens,17,16.15,16.15,11.175149,20.965066,1.336697,6.663827
Linear,Without Lens,18,17.1,17.1,9.578599,19.62604,1.471999,7.22913
Linear,Without Lens,19,18.05,18.05,14.670715,23.329026,1.29756,6.528076
Linear,Without Lens,20,19.0,19.0,11.343351,21.094828,1.424134,6.843037
Half-Circular,Without Lens,0,0.0,0.0,31.876244,30.069343,1.101687,5.539124
Half-Circular,Without Lens,1,0.785149,0.785149,22.033789,26.861784,1.176855,5.825439
Half-Circular,Without Lens,2,1.570298,1.570298,23.848899,27.549367,1.172822,5.826549
Half-Circular,Without Lens,3,2.355447,2.355447,24.350496,27.730156,1.150124,5.77547
Half-Circular,Without Lens,4,3.140596,3.140596,27.137714,28.671465,1.159553,5.84577
