trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Linear,Without Lens,0,21,,0.0,Simul_+1,13.0,4.25,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_0,13.1,4.28,,0.0,0.0,-9.5,2.0
Linear,Without Lens,0,21,,0.0,Simul_-1,13.2,4.33,,0.0,0.0,-9.5,2.0
Linear,Without Lens,1,21,,0.95,Simul_+1,13.2,4.39,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_0,13.3,4.39,,0.95,0.0,-8.55,2.0
Linear,Without Lens,1,21,,0.95,Simul_-1,13.3,4.4,,0.95,0.0,-8.55,2.0
Linear,Without Lens,2,21,,1.9,Simul_+1,14.2,4.71,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_0,14.1,4.69,,1.9,0.0,-7.6,2.0
Linear,Without Lens,2,21,,1.9,Simul_-1,14.0,4.65,,1.9,0.0,-7.6,2.0
Linear,Without Lens,3,21,,2.85,Simul_+1,14.7,4.89,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_0,14.7,4.89,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,3,21,,2.85,Simul_-1,14.7,4.86,,2.8499999999999996,0.0,-6.65,2.0
Linear,Without Lens,4,21,,3.8,Simul_+1,15.7,5.2,,3.8,0.0,-5.699999999999999,2.0
Linear,Without Lens,4,21,,3.8,Simul_0,15.7,5.2,,3.8,0.0,-5.699999999999999,2.0
Linear,Without Lens,4,21,,3.8,Simul_-1,15.6,5.19,,3.8,0.0,-5.699999999999999,2.0
Linear,Without Lens,5,21,,4.75,Simul_+1,16.3,5.42,,4.75,0.0,-4.75,2.0
Linear,Without Lens,5,21,,4.75,Simul_0,16.3,5.41,,4.75,0.0,-4.75,2.0
Linear,Without Lens,5,21,,4.75,Simul_-1,16.3,5.41,,4.75,0.0,-4.75,2.0
Linear,Without Lens,6,21,,5.7,Simul_+1,17.1,5.66,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_0,17.1,5.66,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,6,21,,5.7,Simul_-1,17.1,5.67,,5.699999999999999,0.0,-3.8,2.0
Linear,Without Lens,7,21,,6.65,Simul_+1,17.7,5.87,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_0,17.7,5.88,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,7,21,,6.65,Simul_-1,17.7,5.87,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Without Lens,8,21,,7.6,Simul_+1,18.2,6.03,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,8,21,,7.6,Simul_0,18.2,6.04,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,8,21,,7.6,Simul_-1,18.2,6.03,,7.6,0.0,-1.8999999999999995,2.0
Linear,Without Lens,9,21,,8.55,Simul_+1,18.5,6.13,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_0,18.4,6.12,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,9,21,,8.55,Simul_-1,18.4,6.12,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Without Lens,10,21,,9.5,Simul_+1,18.6,6.17,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_0,18.7,6.19,,9.5,0.0,0.0,2.0
Linear,Without Lens,10,21,,9.5,Simul_-1,18.6,6.17,,9.5,0.0,0.0,2.0
Linear,Without Lens,11,21,,10.45,Simul_+1,18.4,6.13,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_0,18.4,6.12,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,11,21,,10.45,Simul_-1,18.5,6.13,,10.45,0.0,0.9500000000000011,2.0
Linear,Without Lens,12,21,,11.4,Simul_+1,18.2,6.03,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_0,18.2,6.04,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,12,21,,11.4,Simul_-1,18.2,6.02,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Without Lens,13,21,,12.35,Simul_+1,17.7,5.86,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_0,17.7,5.87,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,13,21,,12.35,Simul_-1,17.7,5.86,,12.35,0.0,2.8499999999999996,2.0
Linear,Without Lens,14,21,,13.3,Simul_+1,17.1,5.66,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_0,17.0,5.64,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,14,21,,13.3,Simul_-1,17.0,5.64,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Without Lens,15,21,,14.25,Simul_+1,16.3,5.4,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_0,16.3,5.41,,14.25,0.0,4.75,2.0
Linear,Without Lens,15,21,,14.25,Simul_-1,16.3,5.42,,14.25,0.0,4.75,2.0
Linear,Without Lens,16,21,,15.2,Simul_+1,15.7,5.2,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_0,15.7,5.2,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,16,21,,15.2,Simul_-1,15.7,5.2,,15.2,0.0,5.700000000000001,2.0
Linear,Without Lens,17,21,,16.15,Simul_+1,14.7,4.86,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_0,14.8,4.9,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,17,21,,16.15,Simul_-1,14.8,4.9,,16.15,0.0,6.649999999999999,2.0
Linear,Without Lens,18,21,,17.1,Simul_+1,14.0,4.66,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_0,14.2,4.7,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,18,21,,17.1,Simul_-1,14.2,4.72,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Without Lens,19,21,,18.05,Simul_+1,13.3,4.41,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_0,13.3,4.4,,18.05,0.0,8.55,2.0
Linear,Without Lens,19,21,,18.05,Simul_-1,13.3,4.4,,18.05,0.0,8.55,2.0
Linear,Without Lens,20,21,,19.0,Simul_+1,13.2,4.34,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_0,13.1,4.29,,19.0,0.0,9.5,2.0
Linear,Without Lens,20,21,,19.0,Simul_-1,13.1,4.27,,19.0,0.0,9.5,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_+1,10.8,3.62,-90.0,0.0,-9.0,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_0,10.8,3.63,-90.0,0.0,-9.0,-9.0,2.0
Half-Circular,Without Lens,0,37,,0.0,Simul_-1,10.8,3.62,-90.0,0.0,-9.0,-9.0,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_+1,9.3,3.1,-85.0,0.7853981633974483,-8.215598315271077,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_0,9.5,3.16,-85.0,0.7853981633974483,-8.215598315271077,-8.96575228282571,2.0
Half-Circular,Without Lens,1,37,,0.79,Simul_-1,9.8,3.26,-85.0,0.7853981633974483,-8.215598315271077,-8.96575228282571,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_+1,10.2,3.42,-80.0,1.5707963267948966,-7.437166400997626,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_0,10.3,3.42,-80.0,1.5707963267948966,-7.437166400997626,-8.863269777109872,2.0
Half-Circular,Without Lens,2,37,,1.57,Simul_-1,10.4,3.44,-80.0,1.5707963267948966,-7.437166400997626,-8.863269777109872,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_+1,11.1,3.73,-75.0,2.356194490192345,-6.670628594077313,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_0,11.0,3.69,-75.0,2.356194490192345,-6.670628594077313,-8.693332436601615,2.0
Half-Circular,Without Lens,3,37,,2.36,Simul_-1,10.9,3.65,-75.0,2.356194490192345,-6.670628594077313,-8.693332436601615,2.0
Half-Circular,Without Lens,4,37,,3.14,Simul_+1,11.8,3.9,-70.0,3.141592653589793,-5.9218187100689805,-8.457233587073175,2.0
Half-Circular,Without Lens,4,37,,3.14,Simul_0,11.7,3.9,-70.0,3.141592653589793,-5.9218187100689805,-8.457233587073175,2.0
Half-Circular,Without Lens,4,37,,3.14,Simul_-1,11.7,3.9,-70.0,3.141592653589793,-5.9218187100689805,-8.457233587073175,2.0
Half-Circular,Without Lens,5,37,,3.93,Simul_+1,12.6,4.19,-65.0,3.9269908169872414,-5.196435644333706,-8.15677008332985,2.0
Half-Circular,Without Lens,5,37,,3.93,Simul_0,12.5,4.16,-65.0,3.9269908169872414,-5.196435644333706,-8.15677008332985,2.0
Half-Circular,Without Lens,5,37,,3.93,Simul_-1,12.5,4.15,-65.0,3.9269908169872414,-5.196435644333706,-8.15677008332985,2.0
Half-Circular,Without Lens,6,37,,4.71,Simul_+1,13.4,4.41,-60.0,4.71238898038469,-4.499999999999999,-7.794228634059947,2.0
Half-Circular,Without Lens,6,37,,4.71,Simul_0,13.4,4.4,-60.0,4.71238898038469,-4.499999999999999,-7.794228634059947,2.0
Half-Circular,Without Lens,6,37,,4.71,Simul_-1,13.3,4.37,-60.0,4.71238898038469,-4.499999999999999,-7.794228634059947,2.0
Half-Circular,Without Lens,7,37,,5.5,Simul_+1,13.8,4.59,-55.0,5.497787143782138,-3.8378120728405856,-7.372368398600926,2.0
Half-Circular,Without Lens,7,37,,5.5,Simul_0,13.8,4.59,-55.0,5.497787143782138,-3.8378120728405856,-7.372368398600926,2.0
Half-Circular,Without Lens,7,37,,5.5,Simul_-1,14.0,4.63,-55.0,5.497787143782138,-3.8378120728405856,-7.372368398600926,2.0
Half-Circular,Without Lens,8,37,,6.28,Simul_+1,14.7,4.87,-50.0,6.283185307179586,-3.2149115128211454,-6.894399988070802,2.0
Half-Circular,Without Lens,8,37,,6.28,Simul_0,14.7,4.87,-50.0,6.283185307179586,-3.2149115128211454,-6.894399988070802,2.0
Half-Circular,Without Lens,8,37,,6.28,Simul_-1,14.6,4.86,-50.0,6.283185307179586,-3.2149115128211454,-6.894399988070802,2.0
Half-Circular,Without Lens,9,37,,7.07,Simul_+1,15.3,5.09,-45.0,7.0685834705770345,-2.6360389693210715,-6.3639610306789285,2.0
Half-Circular,Without Lens,9,37,,7.07,Simul_0,15.3,5.07,-45.0,7.0685834705770345,-2.6360389693210715,-6.3639610306789285,2.0
