source,rx_index,tx_index,native_rx,native_tx,freq_ghz,magnitude_with_db,magnitude_without_db,lens_gain_db
SIonna-RT,1,1,rx_index 2,tx_index 2,37.0,-18.290024400574126,-28.997533054707407,10.707508654133282
SIonna-RT,1,1,rx_index 2,tx_index 2,38.0,-18.34431845715863,-29.05915413215158,10.714835674992951
SIonna-RT,1,1,rx_index 2,tx_index 2,39.0,-18.291175155648762,-29.01759964555904,10.72642448991028
SIonna-RT,1,2,rx_index 2,tx_index 1,37.0,-42.50214753238434,-30.699928050347957,-11.802219482036385
SIonna-RT,1,2,rx_index 2,tx_index 1,38.0,-42.54256739662857,-30.68406897241314,-11.85849842421543
SIonna-RT,1,2,rx_index 2,tx_index 1,39.0,-42.32910646864408,-30.699023636575305,-11.630082832068773
SIonna-RT,1,3,rx_index 2,tx_index 3,37.0,-41.11893817130621,-30.734800129884434,-10.384138041421778
SIonna-RT,1,3,rx_index 2,tx_index 3,38.0,-41.15367675781158,-30.719854425202385,-10.433822332609196
SIonna-RT,1,3,rx_index 2,tx_index 3,39.0,-40.9647239934338,-30.733373648329877,-10.231350345103923
SIonna-RT,2,1,rx_index 1,tx_index 2,37.0,-42.7392250131055,-34.006923047311574,-8.732301965793923
SIonna-RT,2,1,rx_index 1,tx_index 2,38.0,-42.74165715598829,-34.0190560907518,-8.72260106523649
SIonna-RT,2,1,rx_index 1,tx_index 2,39.0,-42.83938172331631,-34.065935967080236,-8.773445756236072
SIonna-RT,2,2,rx_index 1,tx_index 1,37.0,-22.7842139881149,-28.265768520133875,5.481554532018976
SIonna-RT,2,2,rx_index 1,tx_index 1,38.0,-22.760065584051578,-28.22454076435909,5.464475180307513
SIonna-RT,2,2,rx_index 1,tx_index 1,39.0,-22.793860314957023,-28.271743900935043,5.47788358597802
SIonna-RT,2,3,rx_index 1,tx_index 3,37.0,-43.03093042406846,-40.59960449840381,-2.4313259256646518
SIonna-RT,2,3,rx_index 1,tx_index 3,38.0,-42.80924491617569,-40.71502445685947,-2.094220459316226
SIonna-RT,2,3,rx_index 1,tx_index 3,39.0,-42.95941741485109,-40.58281682311075,-2.376600591740342
SIonna-RT,3,1,rx_index 3,tx_index 2,37.0,-42.90815187409389,-33.930048490742124,-8.978103383351765
SIonna-RT,3,1,rx_index 3,tx_index 2,38.0,-42.90994565978015,-33.94024919614957,-8.969696463630576
SIonna-RT,3,1,rx_index 3,tx_index 2,39.0,-43.03580029989142,-33.99036063054667,-9.045439669344752
SIonna-RT,3,2,rx_index 3,tx_index 1,37.0,-43.20270373418226,-40.340441480603616,-2.862262253578642
SIonna-RT,3,2,rx_index 3,tx_index 1,38.0,-42.952868312062584,-40.44271244866099,-2.510155863401593
SIonna-RT,3,2,rx_index 3,tx_index 1,39.0,-43.13322420117892,-40.3246590842749,-2.8085651169040204
SIonna-RT,3,3,rx_index 3,tx_index 3,37.0,-23.143300815802256,-28.32725701449778,5.1839561986955225
SIonna-RT,3,3,rx_index 3,tx_index 3,38.0,-23.119778386846694,-28.28534759712874,5.165569210282047
SIonna-RT,3,3,rx_index 3,tx_index 3,39.0,-23.1534950512117,-28.333596531052162,5.180101479840463
